time,reportedHashrate,currentHashrate,validShares,invalidShares,staleShares,activeWorkers
1549460400,380206040,4.047222222222222E8,361,0,5,3
1549461600,380297916,3.984444444444444E8,356,0,4,3
1549462800,380270718,4.0588888888888896E8,364,0,2,3
1549464000,380280691,4.0588888888888884E8,364,0,2,3
1549465200,380323380,3.9661111111111104E8,355,0,3,3
1549466400,380296264,3.998888888888889E8,356,0,6,3
1549467600,380324532,3.643333333333334E8,324,0,6,3
1549468800,380327760,3.991111111111111E8,354,0,8,3
1549470000,380264050,3.724444444444444E8,330,0,8,3
1549471200,380301218,4.221111111111111E8,376,0,6,3
1549472400,380246144,3.94E8,352,0,4,3
1549473600,380184186,4.018333333333334E8,361,0,1,3
1549474800,380257867,3.940555555555556E8,354,0,1,3
1549476000,380172368,3.844444444444444E8,346,0,0,3
1549477200,380208289,3.829444444444445E8,344,0,1,3
1549478400,380247801,3.725555555555555E8,334,0,2,3
1549479600,380285802,3.776666666666666E8,336,0,6,3
1549480800,380239727,3.591111111111111E8,318,0,8,3
1549482000,380330519,3.4283333333333325E8,304,0,7,3
1549483200,380362489,3.525E8,314,0,5,3
1549484400,380334655,3.547777777777778E8,318,0,2,3
1549485600,380312222,3.87E8,347,0,2,3
1549486800,380328449,3.966666666666666E8,357,0,0,3
1549488000,380320097,4.151666666666667E8,373,0,1,3
1549489200,379871908,4.047777777777778E8,363,0,2,3
1549490400,380287562,4.113888888888889E8,367,0,5,3
1549491600,380261344,4.002777777777778E8,357,0,5,3
1549492800,380276112,3.9472222222222227E8,352,0,5,3
1549494000,380259571,4.080555555555555E8,364,0,5,3
1549495200,380260372,4.132222222222222E8,368,0,6,3
1549496400,380275657,4.068888888888889E8,361,0,8,3
1549497600,380240782,3.5472222222222227E8,316,0,5,3
1549498800,380260144,3.510555555555556E8,314,0,3,3
1549500000,380239481,3.780555555555556E8,337,0,5,3
1549501200,380218089,3.9250000000000006E8,350,0,5,3
1549502400,380234118,4.0727777777777785E8,362,0,7,3
1549503600,380244035,3.921666666666667E8,351,0,3,3
1549504800,380286207,4.032777777777778E8,361,0,3,3
1549506000,380292232,4.066111111111111E8,364,0,3,3
1549507200,380309793,4.003333333333334E8,359,0,2,3
1549508400,380340382,3.7811111111111116E8,339,0,2,3
1549509600,380259664,3.455E8,309,0,3,3
1549510800,380269948,3.525E8,314,0,5,3
1549512000,380274725,3.798888888888889E8,338,0,6,3
1549513200,380239281,4.006666666666666E8,358,0,4,3
1549514400,380210369,4.0877777777777773E8,364,0,6,3
1549515600,380264222,4.087777777777778E8,364,0,6,3
1549516800,380309228,4.172777777777778E8,371,0,7,3
1549518000,380242559,4.055E8,363,0,3,3
1549519200,380258482,3.8011111111111104E8,333,0,14,3
1549520400,380261261,3.5161111111111116E8,308,0,13,3
1549521600,380242836,3.516111111111111E8,308,0,13,3
1549522800,380298091,3.6627777777777785E8,329,0,1,3
1549524000,380310280,3.929444444444444E8,353,0,1,3
1549525200,380334943,3.747777777777778E8,336,0,2,3
1549526400,380330428,3.632777777777778E8,325,0,3,3
1549527600,380340654,3.591666666666666E8,320,0,5,3
1549528800,380315696,3.754444444444444E8,334,0,6,3
1549530000,380280145,3.754444444444445E8,334,0,6,3
1549531200,380330929,3.647222222222222E8,325,0,5,3
1549532400,380122114,3.691666666666666E8,329,0,5,3
1549533600,380300240,3.6100000000000006E8,321,0,6,3
1549534800,380323114,3.625E8,323,0,5,3
1549536000,380339549,3.406111111111111E8,302,0,7,3
1549537200,380280237,3.6361111111111104E8,324,0,5,3
